COMMITTER,AVG_DURATION,AVG_LINES_ADDED,AVG_LINES_REMOVED,COUNT_REFACTS,COUNT_SOLVED,FILES_CHANGED,FIXED_ISSUES,INDUCED_ISSUES,COMMIT_HASH,PROJECT_ID
Christian van Spaandonk,0.0,11.510669299328123,2.021425339366516,0.0,0.0,24.3,0.0,0.0,10,1
Christophe Jolif,0.0,14.503645702557646,5.526346566346568,0.4076923076923077,0.0,3.876923076923077,0.0,0.0,130,1
Christopher Oliver,0.0,15.028047892989353,6.277381558492151,0.3292181069958848,0.0,3.4691358024691357,0.0,0.0,243,1
Christopher Piro,0.0,10.928230047807023,6.39418209429652,0.0,0.0,9.6,0.0,0.0,35,1
Clay Leeds,0.0,11.666666666666666,6.166666666666667,0.0,0.0,1.8333333333333333,0.0,0.0,6,1
Clement Escoffier,0.0,11.005463757563621,3.747952944635063,0.08503162333099086,0.0,8.712579058327478,0.0,0.0,1423,1
Colm O Heigeartaigh,0.0,10.311304396409323,4.628039667897907,0.8878504672897196,0.0,15.478504672897197,0.0,0.0,535,1
Colm O hEigeartaigh,0.0,7.654149077943907,4.330363698589814,0.31683168316831684,0.0,14.366336633663366,0.0,0.0,202,1
Conor MacNeill,0.0,3.1666666666666665,1.1666666666666667,0.0,0.0,1.3333333333333333,0.0,0.0,3,1
Costin Manolache,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1,1
Craig R. McClanahan,0.0,15.826470853023649,4.4509859020728575,0.22007722007722008,0.0,2.0926640926640925,0.0,0.0,259,7
Cédric Damioli,0.0,11.666666666666664,0.0,0.0,0.0,3.0,0.0,0.0,1,1
Dain Sundstrom,0.0,10.212121212121213,1.4318181818181819,0.36363636363636365,0.0,2.3636363636363638,0.0,0.0,11,1
Daniel Fabulich,0.0,7.412711178221288,3.6249343487394956,0.078125,0.0,2.125,0.0,0.0,64,1
Daniel Rall,0.0,2.8333333333333335,4.333333333333333,0.0,0.0,1.0,0.0,0.0,6,3
Daniel Savarese,0.0,10.895964409244655,3.688532672509526,0.4146341463414634,0.0,5.695121951219512,0.0,0.0,82,2
Davanum Srinivas,0.0,6.234265734265734,5.259615384615385,0.15384615384615385,0.0,1.8846153846153846,0.0,0.0,26,2
David Brosius,0.0,5.72542751937991,2.7208019418876987,0.12135922330097088,0.0,6.456310679611651,0.0,0.0,206,7
David Crossley,0.0,7.433385176250934,4.578834221829575,0.011904761904761904,0.0,15.957142857142857,0.0,0.0,420,1
David Dixon-Peugh,0.0,25.083333333333332,4.25,0.3333333333333333,0.0,2.0,0.0,0.0,3,1
David Eric Pugh,0.0,8.90054282719377,4.187483153638814,0.42452830188679247,0.0,3.1132075471698113,0.0,0.0,106,3
David Graham,0.0,12.693329906036489,8.798447817315113,0.23809523809523808,0.0,2.6468253968253967,0.0,0.031746031746031744,252,3
David Jencks,0.0,14.318584428013512,5.737044408772947,0.523943661971831,0.0,3.419718309859155,0.0,0.0,355,1
David John Legg,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
David Leangen,0.0,14.067425191767292,2.403625541125541,1.25,0.0,6.222222222222222,0.0,0.0,36,1
David Morgan Spencer Savage,0.0,8.882351996931387,4.361845110604742,1.2770448548812665,0.0,7.670184696569921,0.0,0.0,379,1
David Reiss,0.0,10.628152120948734,3.437908748501969,0.0,0.0,4.745762711864407,0.0,0.0,59,1
